date,sales
1992-01-01,3459
1992-02-01,3458
1992-03-01,4002
1992-04-01,4564
1992-05-01,4221
1992-06-01,4529
1992-07-01,4466
1992-08-01,4137
1992-09-01,4126
1992-10-01,4259
1992-11-01,4240
1992-12-01,4936
1993-01-01,3031
1993-02-01,3261
1993-03-01,4160
1993-04-01,4377
1993-05-01,4307
1993-06-01,4696
1993-07-01,4458
1993-08-01,4457
1993-09-01,4364
1993-10-01,4236
1993-11-01,4500
1993-12-01,4974
1994-01-01,3075
1994-02-01,3377
1994-03-01,4443
1994-04-01,4261
1994-05-01,4460
1994-06-01,4985
1994-07-01,4324
1994-08-01,4719
