Date,google_trends_value
2018-06-01,8.0
2018-06-02,8.0
2018-06-03,8.0
2018-06-04,7.0
2018-06-05,8.0
2018-06-06,7.0
2018-06-07,7.0
2018-06-08,6.0
2018-06-09,6.0
2018-06-10,9.0
2018-06-11,13.0
2018-06-12,10.0
2018-06-13,11.0
2018-06-14,10.0
2018-06-15,8.0
2018-06-16,7.0
2018-06-17,8.0
2018-06-18,8.0
2018-06-19,8.0
2018-06-20,8.0
2018-06-21,7.0
2018-06-22,9.0
2018-06-23,9.0
2018-06-24,9.0
2018-06-25,8.0
2018-06-26,8.0
2018-06-27,7.0
2018-06-28,7.0
2018-06-29,10.0
2018-06-30,8.0
2018-07-01,7.0
2018-07-02,8.0
2018-07-03,8.0
2018-07-04,7.0
2018-07-05,8.0
2018-07-06,8.0
2018-07-07,6.0
2018-07-08,7.0
2018-07-09,7.0
2018-07-10,8.0
2018-07-11,7.0
2018-07-12,7.0
2018-07-13,7.0
2018-07-14,6.0
2018-07-15,6.0
2018-07-16,7.0
2018-07-17,10.0
2018-07-18,11.0
2018-07-19,9.0
2018-07-20,8.0
2018-07-21,7.0
2018-07-22,6.0
2018-07-23,8.0
2018-07-24,12.0
2018-07-25,11.0
2018-07-26,9.0
2018-07-27,9.0
2018-07-28,7.0
2018-07-29,7.0
2018-07-30,8.0
2018-07-31,8.0
2018-08-01,9.0
2018-08-02,7.0
2018-08-03,8.0
2018-08-04,8.0
2018-08-05,7.0
2018-08-06,8.0
2018-08-07,8.0
2018-08-08,11.0
2018-08-09,9.0
2018-08-10,8.0
2018-08-11,8.0
2018-08-12,8.0
2018-08-13,8.0
2018-08-14,11.0
2018-08-15,9.0
2018-08-16,8.0
2018-08-17,8.0
2018-08-18,7.0
2018-08-19,6.0
2018-08-20,6.0
2018-08-21,8.0
2018-08-22,9.0
2018-08-23,8.0
2018-08-24,7.0
2018-08-25,6.0
2018-08-26,6.0
2018-08-27,7.0
2018-08-28,9.0
2018-08-29,8.0
2018-08-30,8.0
2018-08-31,7.0
2018-09-01,7.0
2018-09-02,7.0
2018-09-03,7.0
2018-09-04,8.0
2018-09-05,10.0
2018-09-06,11.0
2018-09-07,8.0
2018-09-08,7.0
2018-09-09,7.0
2018-09-10,7.0
2018-09-11,8.0
2018-09-12,8.0
2018-09-13,8.0
2018-09-14,7.0
2018-09-15,6.0
2018-09-16,6.0
2018-09-17,7.0
2018-09-18,7.0
2018-09-19,7.0
2018-09-20,7.0
2018-09-21,8.0
2018-09-22,6.0
2018-09-23,6.0
2018-09-24,6.0
2018-09-25,7.0
2018-09-26,7.0
2018-09-27,6.0
2018-09-28,6.0
2018-09-29,6.0
